antecedent,consequent,support,confidence,lift
 DOLLY GIRL BEAKER,SPACEBOY BEAKER,0.024752475247524754,0.7894736842105264,25.180055401662056
SPACEBOY BEAKER, DOLLY GIRL BEAKER,0.024752475247524754,0.7894736842105264,25.180055401662056
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE GREEN,0.022277227722772276,0.8181818181818181,14.582887700534759
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE ORANGE,0.024752475247524754,0.44117647058823534,13.041606886657103
ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE GREEN,0.024752475247524754,0.7317073170731707,13.041606886657101
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,0.024752475247524754,0.44117647058823534,11.882352941176473
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN,0.024752475247524754,0.6666666666666667,11.882352941176473
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.033003300330033,0.588235294117647,12.507739938080494
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.033003300330033,0.7017543859649122,12.507739938080494
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE ORANGE,0.02145214521452145,0.45614035087719296,13.483953786906289
ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE RED,0.02145214521452145,0.6341463414634146,13.48395378690629
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED,0.022277227722772276,0.6,12.757894736842104
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE PINK,0.022277227722772276,0.47368421052631576,12.757894736842106
CHARLOTTE BAG APPLES DESIGN,RED RETROSPOT CHARLOTTE BAG,0.022277227722772276,0.5625,11.960526315789474
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG APPLES DESIGN,0.022277227722772276,0.47368421052631576,11.960526315789473
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.02145214521452145,0.45614035087719296,13.821052631578947
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.02145214521452145,0.65,13.821052631578947
STRAWBERRY CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.02145214521452145,0.5531914893617021,16.761702127659575
CHARLOTTE BAG PINK POLKADOT,STRAWBERRY CHARLOTTE BAG,0.02145214521452145,0.65,16.761702127659575
CHARLOTTE BAG SUKI DESIGN,RED RETROSPOT CHARLOTTE BAG,0.0231023102310231,0.5714285714285714,12.150375939849622
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.0231023102310231,0.49122807017543857,12.150375939849624
CHARLOTTE BAG SUKI DESIGN,WOODLAND CHARLOTTE BAG,0.020627062706270627,0.5102040816326531,13.15675206252714
WOODLAND CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.020627062706270627,0.5319148936170213,13.15675206252714
SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX,0.03382838283828383,0.6507936507936508,15.16849816849817
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.03382838283828383,0.7884615384615384,15.168498168498168
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.03712871287128713,0.7499999999999999,13.984615384615383
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.03712871287128713,0.6923076923076923,13.984615384615383
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.03052805280528053,0.8409090909090909,19.983957219251337
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.03052805280528053,0.7254901960784313,19.983957219251334
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.034653465346534656,0.7241379310344828,17.20892494929006
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.034653465346534656,0.823529411764706,17.20892494929006
HEART OF WICKER LARGE,LARGE WHITE HEART OF WICKER,0.020627062706270627,0.5208333333333334,9.017857142857144
IVORY KITCHEN SCALES,RED KITCHEN SCALES,0.02145214521452145,0.4727272727272727,14.323636363636364
RED KITCHEN SCALES,IVORY KITCHEN SCALES,0.02145214521452145,0.65,14.323636363636364
IVORY WICKER HEART LARGE,LARGE WHITE HEART OF WICKER,0.02145214521452145,0.5909090909090908,10.23116883116883
