antecedent,consequent,support,confidence,lift
60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.020021074815595362,0.5588235294117647,8.158823529411766
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.03582718651211802,0.7555555555555556,13.788888888888891
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.03582718651211802,0.6538461538461539,13.78888888888889
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED,0.023182297154899896,0.7857142857142857,14.339285714285715
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE PINK,0.023182297154899896,0.42307692307692313,14.339285714285715
CREAM FELT EASTER EGG BASKET,BLUE FELT EASTER EGG BASKET,0.023182297154899896,0.47826086956521746,18.154782608695655
BLUE FELT EASTER EGG BASKET,CREAM FELT EASTER EGG BASKET,0.023182297154899896,0.88,18.154782608695655
CANDLEHOLDER PINK HANGING HEART,WHITE HANGING HEART T-LIGHT HOLDER,0.0273972602739726,0.7647058823529411,5.997569275644142
CHILDRENS CUTLERY POLKADOT BLUE,CHILDRENS CUTLERY POLKADOT PINK,0.02423603793466807,0.793103448275862,20.907088122605362
CHILDRENS CUTLERY POLKADOT PINK,CHILDRENS CUTLERY POLKADOT BLUE,0.02423603793466807,0.6388888888888888,20.907088122605362
CHILDRENS CUTLERY POLKADOT PINK,CHILDRENS CUTLERY RETROSPOT RED,0.020021074815595362,0.5277777777777777,17.271072796934863
CHILDRENS CUTLERY RETROSPOT RED,CHILDRENS CUTLERY POLKADOT PINK,0.020021074815595362,0.6551724137931033,17.271072796934863
COOK WITH WINE METAL SIGN,GIN + TONIC DIET METAL SIGN,0.022128556375131718,0.4565217391304348,9.846343873517787
GIN + TONIC DIET METAL SIGN,COOK WITH WINE METAL SIGN,0.022128556375131718,0.47727272727272724,9.846343873517787
HAND OVER THE CHOCOLATE   SIGN,COOK WITH WINE METAL SIGN,0.02528977871443625,0.5714285714285714,11.788819875776397
COOK WITH WINE METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.02528977871443625,0.5217391304347826,11.788819875776397
COOK WITH WINE METAL SIGN,PLEASE ONE PERSON METAL SIGN,0.023182297154899896,0.47826086956521746,7.962623951182304
HAND OVER THE CHOCOLATE   SIGN,GIN + TONIC DIET METAL SIGN,0.023182297154899896,0.5238095238095238,11.297619047619047
GIN + TONIC DIET METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.023182297154899896,0.5,11.297619047619047
PLEASE ONE PERSON METAL SIGN,GIN + TONIC DIET METAL SIGN,0.02845100105374078,0.47368421052631576,10.216507177033492
