Month,antecedent,consequent,support,confidence,lift
January,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.0371155885471898,0.7,12.454716981132076
January,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.0371155885471898,0.6603773584905661,12.454716981132076
January,CANDLEHOLDER PINK HANGING HEART,RED HANGING HEART T-LIGHT HOLDER,0.0328738069989395,0.607843137254902,6.905976848570754
January,CANDLEHOLDER PINK HANGING HEART,WHITE HANGING HEART T-LIGHT HOLDER,0.0424178154825026,0.7843137254901962,4.963811027766812
January,HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.0657476139978791,0.7294117647058824,6.14138655462185
January,HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.0657476139978791,0.5535714285714286,6.14138655462185
January,HEART OF WICKER LARGE,WHITE HANGING HEART T-LIGHT HOLDER,0.0445387062566277,0.4941176470588236,3.127200947493092
January,LOVE BUILDING BLOCK WORD,HEART OF WICKER SMALL,0.0318133616118769,0.4166666666666666,3.508184523809523
January,HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,0.0371155885471898,0.5147058823529411,6.741217320261437
January,LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,0.0371155885471898,0.486111111111111,6.741217320261437
January,JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,0.0318133616118769,0.4347826086956521,5.256410256410256
January,JAM MAKING SET WITH JARS,SET OF 3 CAKE TINS PANTRY DESIGN,0.0424178154825026,0.5128205128205129,3.748757702246075
January,LOVE BUILDING BLOCK WORD,WHITE HANGING HEART T-LIGHT HOLDER,0.0318133616118769,0.4166666666666666,2.637024608501118
January,RECIPE BOX PANTRY YELLOW DESIGN,SET OF 3 CAKE TINS PANTRY DESIGN,0.0360551431601272,0.6181818181818183,4.518957011980269
January,RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.056203605514316,0.6385542168674698,4.041319640980027
January,SET OF 3 BUTTERFLY COOKIE CUTTERS,SET OF 3 HEART COOKIE CUTTERS,0.0328738069989395,0.738095238095238,7.484126984126983
