antecedent,consequent,support,confidence,lift
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE ORANGE,0.02206461780929866,0.4444444444444444,16.114285714285714
ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE GREEN,0.02206461780929866,0.7999999999999999,16.114285714285714
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.028368794326241134,0.5714285714285714,13.945054945054945
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.028368794326241134,0.6923076923076924,13.945054945054947
PINK VINTAGE SPOT BEAKER,BLUE VINTAGE SPOT BEAKER,0.02206461780929866,0.875,28.471153846153847
BLUE VINTAGE SPOT BEAKER,PINK VINTAGE SPOT BEAKER,0.02206461780929866,0.717948717948718,28.471153846153843
BLUE VINTAGE SPOT BEAKER,RED VINTAGE SPOT BEAKER,0.02206461780929866,0.717948717948718,29.389578163771713
RED VINTAGE SPOT BEAKER,BLUE VINTAGE SPOT BEAKER,0.02206461780929866,0.9032258064516129,29.389578163771713
CHARLOTTE BAG APPLES DESIGN,RED RETROSPOT CHARLOTTE BAG,0.02127659574468085,0.5869565217391305,13.0675057208238
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG APPLES DESIGN,0.02127659574468085,0.47368421052631576,13.0675057208238
CHARLOTTE BAG SUKI DESIGN,RED RETROSPOT CHARLOTTE BAG,0.02048857368006304,0.5416666666666666,12.059210526315788
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.02048857368006304,0.4561403508771929,12.059210526315788
CHARLOTTE BAG SUKI DESIGN,STRAWBERRY CHARLOTTE BAG,0.02048857368006304,0.5416666666666666,12.497727272727271
STRAWBERRY CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.02048857368006304,0.47272727272727266,12.497727272727271
SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX,0.028368794326241134,0.7346938775510203,20.267968056787932
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.028368794326241134,0.782608695652174,20.267968056787932
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.0425531914893617,0.8181818181818182,12.81818181818182
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.0425531914893617,0.6666666666666667,12.81818181818182
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.02442868400315209,0.8378378378378378,22.62162162162162
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.02442868400315209,0.6595744680851064,22.621621621621625
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.026004728132387706,0.7021276595744681,18.95744680851064
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.026004728132387706,0.7021276595744681,18.95744680851064
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.02127659574468085,0.5510204081632653,9.989212827988336
HEART OF WICKER SMALL,SMALL WHITE HEART OF WICKER,0.0252167060677699,0.45714285714285713,6.906122448979592
JUMBO BAG ALPHABET,JUMBO BAG APPLES,0.027580772261623327,0.42168674698795183,6.150810137100125
JUMBO BAG APPLES,JUMBO BAG ALPHABET,0.027580772261623327,0.40229885057471265,6.150810137100125
JUMBO BAG PEARS,JUMBO BAG ALPHABET,0.02206461780929866,0.49122807017543857,7.510462904248573
JUMBO BAG PINK POLKADOT,JUMBO BAG ALPHABET,0.02127659574468085,0.40298507462686567,6.161301924114368
JUMBO BAG ALPHABET,JUMBO BAG RED RETROSPOT,0.028368794326241134,0.43373493975903615,4.704355885078777
JUMBO BAG ALPHABET,JUMBO BAG VINTAGE DOILY,0.03467297084318361,0.5301204819277109,5.339070567986231
JUMBO BAG ALPHABET,JUMBO BAG VINTAGE LEAF,0.037037037037037035,0.5662650602409639,6.7157977705213385
JUMBO BAG VINTAGE LEAF,JUMBO BAG ALPHABET,0.037037037037037035,0.4392523364485981,6.715797770521338
JUMBO BAG APPLES,JUMBO BAG PEARS,0.0338849487785658,0.4942528735632184,11.003629764065336
JUMBO BAG PEARS,JUMBO BAG APPLES,0.0338849487785658,0.7543859649122807,11.003629764065336
JUMBO BAG PINK POLKADOT,JUMBO BAG APPLES,0.02127659574468085,0.40298507462686567,5.878023674729799
JUMBO BAG APPLES,JUMBO BAG RED RETROSPOT,0.03309692671394799,0.48275862068965514,5.23607427055703
JUMBO BAG APPLES,JUMBO BAG VINTAGE DOILY,0.0338849487785658,0.4942528735632184,4.9778325123152705
JUMBO BAG APPLES,JUMBO BAG VINTAGE LEAF,0.037037037037037035,0.5402298850574713,6.407025459233001
JUMBO BAG VINTAGE LEAF,JUMBO BAG APPLES,0.037037037037037035,0.4392523364485981,6.407025459233
JUMBO BAG APPLES,LUNCH BAG APPLE DESIGN,0.028368794326241134,0.41379310344827586,4.5267538644470875
JUMBO BAG PEARS,JUMBO BAG RED RETROSPOT,0.02048857368006304,0.4561403508771929,4.947368421052631
JUMBO BAG PEARS,JUMBO BAG VINTAGE DOILY,0.026004728132387706,0.5789473684210525,5.830827067669172
JUMBO BAG PEARS,JUMBO BAG VINTAGE LEAF,0.029944838455476755,0.6666666666666666,7.906542056074766
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.037825059101654845,0.7164179104477612,7.770378874856487
JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT,0.037825059101654845,0.4102564102564103,7.770378874856488
JUMBO BAG PINK POLKADOT,JUMBO BAG STRAWBERRY,0.02127659574468085,0.40298507462686567,10.880597014925373
JUMBO BAG STRAWBERRY,JUMBO BAG PINK POLKADOT,0.02127659574468085,0.574468085106383,10.880597014925375
JUMBO BAG PINK POLKADOT,JUMBO BAG VINTAGE DOILY,0.026004728132387706,0.4925373134328358,4.960554371002131
JUMBO BAG PINK POLKADOT,JUMBO BAG VINTAGE LEAF,0.022852639873916468,0.43283582089552236,5.133351931929139
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT,0.02206461780929866,0.7000000000000001,7.592307692307694
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,JUMBO BAG RED RETROSPOT,0.02442868400315209,0.7750000000000001,8.405769230769232
JUMBO BAG STRAWBERRY,JUMBO BAG RED RETROSPOT,0.026004728132387706,0.7021276595744681,7.615384615384616
JUMBO BAG RED RETROSPOT,JUMBO BAG VINTAGE DOILY,0.04491725768321513,0.4871794871794872,4.906593406593407
JUMBO BAG VINTAGE DOILY,JUMBO BAG RED RETROSPOT,0.04491725768321513,0.4523809523809524,4.906593406593407
JUMBO BAG RED RETROSPOT,JUMBO BAG VINTAGE LEAF,0.038613081166272656,0.4188034188034188,4.966930265995686
JUMBO BAG VINTAGE LEAF,JUMBO BAG RED RETROSPOT,0.038613081166272656,0.45794392523364486,4.966930265995686
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG RED RETROSPOT,0.02364066193853428,0.5660377358490566,6.13933236574746
JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,0.022852639873916468,0.5,5.423076923076923
JUMBO BAG VINTAGE DOILY,JUMBO BAG VINTAGE LEAF,0.04412923561859732,0.4444444444444444,5.271028037383178
JUMBO BAG VINTAGE LEAF,JUMBO BAG VINTAGE DOILY,0.04412923561859732,0.5233644859813085,5.271028037383178
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG VINTAGE DOILY,0.02127659574468085,0.5094339622641509,5.130727762803234
JUMBO STORAGE BAG SUKI,JUMBO BAG VINTAGE DOILY,0.022852639873916468,0.5,5.035714285714286
LUNCH BAG VINTAGE DOILY,JUMBO BAG VINTAGE DOILY,0.04412923561859732,0.4028776978417266,4.057553956834532
JUMBO BAG VINTAGE DOILY,LUNCH BAG VINTAGE DOILY,0.04412923561859732,0.4444444444444444,4.057553956834532
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG VINTAGE LEAF,0.02127659574468085,0.5094339622641509,6.041791571151473
JUMBO STORAGE BAG SUKI,JUMBO BAG VINTAGE LEAF,0.02442868400315209,0.5344827586206897,6.338865613922012
SMALL WHITE HEART OF WICKER,LARGE WHITE HEART OF WICKER,0.03467297084318361,0.5238095238095238,10.551020408163266
LARGE WHITE HEART OF WICKER,SMALL WHITE HEART OF WICKER,0.03467297084318361,0.6984126984126984,10.551020408163264
LARGE WHITE HEART OF WICKER,WHITE HANGING HEART T-LIGHT HOLDER,0.02048857368006304,0.4126984126984126,3.908315565031982
LUNCH BAG ALPHABET DESIGN,LUNCH BAG  BLACK SKULL,0.029156816390858944,0.45121951219512196,5.112478222996516
LUNCH BAG  BLACK SKULL,LUNCH BAG APPLE DESIGN,0.037825059101654845,0.42857142857142855,4.6884236453201975
LUNCH BAG APPLE DESIGN,LUNCH BAG  BLACK SKULL,0.037825059101654845,0.41379310344827586,4.688423645320197
LUNCH BAG CARS BLUE,LUNCH BAG  BLACK SKULL,0.045705279747832936,0.5272727272727272,5.974188311688311
LUNCH BAG  BLACK SKULL,LUNCH BAG CARS BLUE,0.045705279747832936,0.5178571428571428,5.9741883116883105
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG  BLACK SKULL,0.0252167060677699,0.5333333333333334,6.042857142857144
LUNCH BAG  BLACK SKULL,LUNCH BAG PINK POLKADOT,0.04964539007092199,0.5625,6.548738532110092
LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL,0.04964539007092199,0.5779816513761469,6.548738532110092
LUNCH BAG  BLACK SKULL,LUNCH BAG RED RETROSPOT,0.03546099290780142,0.4017857142857143,4.472509398496241
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG  BLACK SKULL,0.0338849487785658,0.5058823529411764,5.731827731092436
LUNCH BAG  BLACK SKULL,LUNCH BAG SUKI DESIGN,0.037037037037037035,0.4196428571428571,5.325267857142856
LUNCH BAG SUKI DESIGN,LUNCH BAG  BLACK SKULL,0.037037037037037035,0.47,5.325267857142856
LUNCH BAG  BLACK SKULL,LUNCH BAG VINTAGE DOILY,0.04334121355397951,0.49107142857142855,4.483234840698869
LUNCH BAG VINTAGE LEAF DESIGN,LUNCH BAG  BLACK SKULL,0.028368794326241134,0.45,5.098660714285714
LUNCH BAG WOODLAND,LUNCH BAG  BLACK SKULL,0.03309692671394799,0.5185185185185186,5.875000000000001
LUNCH BAG ALPHABET DESIGN,LUNCH BAG APPLE DESIGN,0.0338849487785658,0.524390243902439,5.7366484440706484
LUNCH BAG ALPHABET DESIGN,LUNCH BAG CARS BLUE,0.027580772261623327,0.426829268292683,4.9240576496674064
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG ALPHABET DESIGN,0.022852639873916468,0.4833333333333333,7.4798780487804875
LUNCH BAG ALPHABET DESIGN,LUNCH BAG PINK POLKADOT,0.03230890464933018,0.5,5.821100917431193
LUNCH BAG ALPHABET DESIGN,LUNCH BAG RED RETROSPOT,0.029944838455476755,0.46341463414634154,5.158536585365854
LUNCH BAG ALPHABET DESIGN,LUNCH BAG SPACEBOY DESIGN,0.026792750197005517,0.41463414634146345,6.190243902439025
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG ALPHABET DESIGN,0.026792750197005517,0.4,6.1902439024390254
LUNCH BAG ALPHABET DESIGN,LUNCH BAG SUKI DESIGN,0.027580772261623327,0.426829268292683,5.416463414634147
LUNCH BAG ALPHABET DESIGN,LUNCH BAG VINTAGE DOILY,0.029944838455476755,0.46341463414634154,4.23074223547991
LUNCH BAG ALPHABET DESIGN,LUNCH BAG VINTAGE LEAF DESIGN,0.027580772261623327,0.426829268292683,6.770579268292685
LUNCH BAG VINTAGE LEAF DESIGN,LUNCH BAG ALPHABET DESIGN,0.027580772261623327,0.43750000000000006,6.770579268292684
LUNCH BAG CARS BLUE,LUNCH BAG APPLE DESIGN,0.038613081166272656,0.44545454545454544,4.873119122257053
LUNCH BAG APPLE DESIGN,LUNCH BAG CARS BLUE,0.038613081166272656,0.4224137931034483,4.873119122257053
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG APPLE DESIGN,0.029944838455476755,0.6333333333333334,6.9284482758620705
LUNCH BAG PINK POLKADOT,LUNCH BAG APPLE DESIGN,0.039401103230890466,0.45871559633027525,5.018190446061373
LUNCH BAG APPLE DESIGN,LUNCH BAG PINK POLKADOT,0.039401103230890466,0.4310344827586207,5.018190446061373
LUNCH BAG RED RETROSPOT,LUNCH BAG APPLE DESIGN,0.038613081166272656,0.4298245614035088,4.702132486388385
LUNCH BAG APPLE DESIGN,LUNCH BAG RED RETROSPOT,0.038613081166272656,0.4224137931034483,4.702132486388384
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG APPLE DESIGN,0.036249014972419225,0.5411764705882353,5.920283975659229
LUNCH BAG SUKI DESIGN,LUNCH BAG APPLE DESIGN,0.04491725768321513,0.5700000000000001,6.235603448275863
LUNCH BAG APPLE DESIGN,LUNCH BAG SUKI DESIGN,0.04491725768321513,0.4913793103448276,6.235603448275862
LUNCH BAG VINTAGE DOILY,LUNCH BAG APPLE DESIGN,0.04885736800630418,0.4460431654676259,4.879558422227736
LUNCH BAG APPLE DESIGN,LUNCH BAG VINTAGE DOILY,0.04885736800630418,0.5344827586206897,4.879558422227736
LUNCH BAG VINTAGE LEAF DESIGN,LUNCH BAG APPLE DESIGN,0.03309692671394799,0.525,5.743318965517242
LUNCH BAG WOODLAND,LUNCH BAG APPLE DESIGN,0.038613081166272656,0.6049382716049383,6.617816091954023
LUNCH BAG APPLE DESIGN,LUNCH BAG WOODLAND,0.038613081166272656,0.4224137931034483,6.617816091954023
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG CARS BLUE,0.026004728132387706,0.55,6.345000000000001
LUNCH BAG CARS BLUE,LUNCH BAG PINK POLKADOT,0.0512214342001576,0.5909090909090908,6.879482902418681
LUNCH BAG PINK POLKADOT,LUNCH BAG CARS BLUE,0.0512214342001576,0.5963302752293578,6.879482902418682
LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,0.037037037037037035,0.42727272727272725,4.756220095693779
LUNCH BAG RED RETROSPOT,LUNCH BAG CARS BLUE,0.037037037037037035,0.4122807017543859,4.756220095693779
LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN,0.037825059101654845,0.43636363636363634,6.514652406417112
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG CARS BLUE,0.037825059101654845,0.5647058823529412,6.514652406417112
LUNCH BAG CARS BLUE,LUNCH BAG SUKI DESIGN,0.04097714736012608,0.47272727272727266,5.99890909090909
LUNCH BAG SUKI DESIGN,LUNCH BAG CARS BLUE,0.04097714736012608,0.5199999999999999,5.998909090909089
LUNCH BAG CARS BLUE,LUNCH BAG VINTAGE DOILY,0.037037037037037035,0.42727272727272725,3.9007848266841068
LUNCH BAG VINTAGE LEAF DESIGN,LUNCH BAG CARS BLUE,0.030732860520094562,0.48750000000000004,5.623977272727274
LUNCH BAG CARS BLUE,LUNCH BAG WOODLAND,0.037037037037037035,0.42727272727272725,6.693939393939394
LUNCH BAG WOODLAND,LUNCH BAG CARS BLUE,0.037037037037037035,0.5802469135802469,6.693939393939394
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG PINK POLKADOT,0.026792750197005517,0.5666666666666667,6.597247706422018
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG RED RETROSPOT,0.02048857368006304,0.4333333333333333,4.823684210526315
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG SPACEBOY DESIGN,0.030732860520094562,0.65,9.704117647058824
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG DOLLY GIRL DESIGN,0.030732860520094562,0.4588235294117647,9.704117647058823
